Club,County,Country,Division,Pitch Count,candidate_label,wikidata_id,wikipedia_url,match_confidence,match_status,source_query,candidate_description,notes
Aghabog Emmets,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
"Allen Gaels GAA, Drumshanbo",Leitrim,Ireland,Leitrim,1,Allen Gaels GAA,Q60756077,https://en.wikipedia.org/wiki/Allen_Gaels_GAA,88,suggested,Allen Gaels GAA,Irish Gaelic football club,clean_name_in_label;token_overlap_3;gaa_context;club_context;enwiki_sitelink;query_label_exact
Annaduff GAA,Leitrim,Ireland,Leitrim,1,Annaduff GAA,Q136505149,https://en.wikipedia.org/wiki/Annaduff_GAA,100,suggested,Annaduff GAA,leitrim-based Gaelic games club,label_exact;token_overlap_2;gaa_context;club_context;county_context;division_context;enwiki_sitelink;sport_claim;instance_claim;query_label_exact
Aughavas GAA,Leitrim,Ireland,Leitrim,1,,,,0,no_match,,,no_candidates
Aughawillan GAA,Leitrim,Ireland,Leitrim,1,Aughawillan GAA,Q60750189,https://en.wikipedia.org/wiki/Aughawillan_GAA,100,suggested,Aughawillan GAA,Irish Gaelic football club,label_exact;token_overlap_2;gaa_context;club_context;enwiki_sitelink;instance_claim;query_label_exact
Aughnamullen Sarsfields,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
Aughnasheelin GAA,Leitrim,Ireland,Leitrim,1,,,,0,no_match,,,no_candidates
Ballinaglera GAA,Leitrim,Ireland,Leitrim,1,,,,0,no_match,,,no_candidates
Ballybay Pearse Brothers,Monaghan,Ireland,Monaghan,1,Ballybay Pearse Brothers GAA,Q60751926,https://en.wikipedia.org/wiki/Ballybay_Pearse_Brothers_GAA,94,suggested,Ballybay Pearse Brothers,Irish Gaelic football club,clean_name_in_label;token_overlap_3;gaa_context;club_context;enwiki_sitelink;sport_claim;instance_claim
Blackhill Emeralds,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
Bornacoola GAA,Leitrim,Ireland,Leitrim,1,,,,0,no_match,,,no_candidates
Carrickmacross Emmets,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
Carrigallen GAA,Leitrim,Ireland,Leitrim,1,,,,0,no_match,,,no_candidates
Castleblayney Faughs,Monaghan,Ireland,Monaghan,1,Castleblayney Faugh's GAC,Q3663084,https://en.wikipedia.org/wiki/Castleblayney_Faughs_GFC,75,suggested,Castleblayney Faughs,"gaelic games club in County Monaghan, Ireland",gaa_context;club_context;county_context;division_context;country_context;enwiki_sitelink;sport_claim;instance_claim
Clones,Monaghan,Ireland,Monaghan,1,Clones,Q1102275,https://en.wikipedia.org/wiki/Clones%2C_County_Monaghan,65,needs_review,Clones,"town in County Monaghan, Ireland",label_exact;county_context;division_context;country_context;enwiki_sitelink;instance_claim;query_label_exact;capped_no_sport_context
Clontibret O'Neills,Monaghan,Ireland,Monaghan,1,Clontibret O'Neills GAA,Q60755349,https://en.wikipedia.org/wiki/Clontibret_O%27Neills_GAA,85,suggested,Clontibret O'Neills,Irish Gaelic football club,clean_name_in_label;token_overlap_3;gaa_context;club_context;enwiki_sitelink
Cloone GAA,Leitrim,Ireland,Leitrim,1,Cloone GAA,Q104855074,https://en.wikipedia.org/wiki/Cloone_GAA,100,suggested,Cloone GAA,leitrim-based Gaelic games club,label_exact;token_overlap_2;gaa_context;club_context;county_context;division_context;enwiki_sitelink;query_label_exact
Corduff Gaels,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
Cremartin Shamrocks,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
Currin Sons of St Patrick,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
Donaghmoyne Fontenoys,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
Doohamlet O'Neills,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
Drumhowan Geraldines,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
Drumkeerin GAA,Leitrim,Ireland,Leitrim,1,,,,0,no_match,,,no_candidates
Drumreilly GAA,Leitrim,Ireland,Leitrim,1,,,,0,no_match,,,no_candidates
Eire Og Na Mullai,Monaghan,Ireland,Monaghan,1,,,,0,no_match,,,no_candidates
