File,Club,Pitch,Latitude,Longitude,Province,Country,Division,County,Directions,Twitter
Ireland,Allen Gaels GAA,,54.044811,-8.031519,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.044811,-8.031519",https://twitter.com/allengaels
Ireland,Annaduff GAA,Stanley Cox Park,53.894162,-7.951299,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.894162,-7.951299",https://twitter.com/annaduffgaa
Ireland,Aughavas GAA,Páirc Achadh an Mheasa,53.959397,-7.723816,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.959397,-7.723816",https://twitter.com/gaaaughavas
Ireland,Aughawillan GAA,,54.091455,-7.758502,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.091455,-7.758502",https://twitter.com/AughawillanGAA
Ireland,Aughnasheelin GAA,,54.064787,-7.864618,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.064787,-7.864618",https://twitter.com/aughnasheelingc
Ireland,Ballinaglera GAA,,54.159626,-8.01436,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.159626,-8.01436",https://twitter.com/glera_gaa
Ireland,Bornacoola GAA,Páirc Barr na Cuille,53.861108,-7.913206,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.861108,-7.913206",https://twitter.com/BornacoolaGAA
Ireland,Carrigallen GAA,,53.986498,-7.656663,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.986498,-7.656663",https://twitter.com/carrigallengfc
Ireland,Cloone GAA,,53.934862,-7.787234,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.934862,-7.787234",https://twitter.com/cloonegaa
Ireland,Drumkeerin GAA,,54.166444,-8.135,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.166444,-8.135",https://twitter.com/drumkeeringaa
Ireland,Drumreilly GAA,,54.039262,-7.743773,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.039262,-7.743773",https://twitter.com/drumreillygaa
Ireland,Eslin GAA,,53.933785,-7.919601,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.933785,-7.919601",https://twitter.com/eslin_gaa
Ireland,Glencar Manorhamilton GAA,Bee Park,54.306763,-8.173863,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.306763,-8.173863",https://twitter.com/glencarmanorgaa
Ireland,Glenfarne Kiltyclogher GAA,,54.289418,-7.985399,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.289418,-7.985399",https://twitter.com/glenfarnekilty
Ireland,Gortletteragh  GAA,,53.88301,-7.781332,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.88301,-7.781332",https://twitter.com/gort_gaa
Ireland,Kiltubrid GAA,,54.034312,-7.94792,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.034312,-7.94792",https://twitter.com/kiltubridgaa
Ireland,Leitrim Gaels,,53.997898,-8.058148,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.997898,-8.058148",https://twitter.com/leitrimgaels
Ireland,Melvin Gaels GAA,,54.444329,-8.289629,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.444329,-8.289629",https://twitter.com/melvingaels
Ireland,Mohill GAA,Philly McGuinness Memorial Park,53.918548,-7.863659,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.918548,-7.863659",https://twitter.com/mohillgaa
Ireland,Sean O'Heslin's Ballinamore,,54.060111,-7.793332,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.060111,-7.793332",
Ireland,"St. Caillins, Fenagh",,54.015256,-7.902072,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.015256,-7.902072",https://twitter.com/fenaghgaaclub
Ireland,"St. Mary's GAA, Kiltoghert",,53.948049,-8.076101,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.948049,-8.076101",https://twitter.com/maryskiltoghert
Ireland,St. Osnetts GAA,,54.320993,-8.202059,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.320993,-8.202059",
Ireland,"St. Patrick's GAA, Dromahaire",,54.233023,-8.310958,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.233023,-8.310958",https://twitter.com/dromahairgaa
Ireland,Athleague GAA,Athleague GAA Pitch,53.574515,-8.26749,Connacht,Ireland,Roscommon,Roscommon,"https://maps.google.com/?daddr=53.574515,-8.26749",https://twitter.com/athleaguegaa
Ireland,Ballinameen GAA,,53.907983,-8.302795,Connacht,Ireland,Roscommon,Roscommon,"https://maps.google.com/?daddr=53.907983,-8.302795",https://twitter.com/Ballinameen_GAA
