Club,County,Province,Latitude,Longitude,Status
Abbeyknockmoy Hurling,Galway,Connacht,53.43808,-8.727463,matched_gaa
Ahascragh/Fohenagh,Galway,Connacht,53.399613,-8.324904,matched_gaa
Ardrahan,Galway,Connacht,53.15673,-8.80274,matched_generic
Ballinasloe GAA,Galway,Connacht,53.325106,-8.233546,matched_gaa
Ballinderreen GAA,Galway,Connacht,53.18329,-8.90716,matched_gaa
Ballygar Hurling ,Galway,Connacht,53.52933,-8.3211,matched_generic
Barna GAA,Galway,Connacht,53.2676741,-9.1635571,matched_gaa
Barna GAA,Galway,Connacht,53.26802,-9.163018,matched_gaa
Beagh GAA,Galway,Connacht,53.016497,-8.822829,matched_generic
CLG An Spidéal,Galway,Connacht,53.24675,-9.280149,matched_gaa
CLG Cárna-Caiseal,Galway,Connacht,53.323377,-9.83014,no_match
CLG Mhaigh Cuilinn,Galway,Connacht,53.359543,-9.17501,matched_gaa
CLG Mhaigh Cuilinn,Galway,Connacht,53.359543,-9.17508,matched_gaa
CLG Micháel Breathnach,Galway,Connacht,53.2477,-9.36834,matched_gaa
"CLG Naomh Anna, Leitir Móir",Galway,Connacht,53.278277,-9.660098,matched_gaa
CLG Oileáin Árann,Galway,Connacht,53.064163,-9.52225,matched_gaa
CLG Oileáin Árann,Galway,Connacht,53.105884,-9.655201,matched_generic
CLG an Cheathrú Ruaidh,Galway,Connacht,53.25718,-9.60288,matched_gaa
Caherlistrane GAA,Galway,Connacht,53.491202,-9.01954,matched_gaa
Caltra GAA,Galway,Connacht,53.4356,-8.430202,matched_gaa
Cappataggle,Galway,Connacht,53.27078,-8.4088,matched_gaa
Carnmore GAA,Galway,Connacht,53.30687608,-8.906325244,matched_gaa
Castlegar Hurling,Galway,Connacht,53.276674,-8.976504,matched_gaa
Cinn Mhara GAA,Galway,Connacht,53.13627,-8.95299,matched_gaa
Claregalway GAA,Galway,Connacht,53.36672,-8.91409,matched_gaa
Clarinbridge GAA,Galway,Connacht,53.23038,-8.876638,matched_gaa
Clonberne/Kilkerrin,Galway,Connacht,53.557538,-8.64998,matched_gaa
Club Iománaíochta Bearna / Na Forbacha,Galway,Connacht,53.25906,-9.208531,matched_gaa
Corofin GAA,Galway,Connacht,53.43737,-8.8605,matched_gaa
Cortoon Shamrocks,Galway,Connacht,53.56547,-8.799351,matched_gaa
Craughwell GAA,Galway,Connacht,53.2299,-8.73011,matched_gaa
Cumann Peile na bPiarsaigh,Galway,Connacht,53.385932,-9.610174,matched_gaa
Dunmore MacHales,Galway,Connacht,53.615128,-8.74291,matched_gaa
Father Griffins/Éire Óg,Galway,Connacht,53.26517,-9.05361,matched_gaa
Father Griffins/Éire Óg,Galway,Connacht,53.294316,-9.044697,matched_generic
Gaeil na Gaillimhe,Galway,Connacht,53.2658322,-9.0555133,matched_gaa
Galway GAA,Galway,Connacht,53.263168,-9.0864127,matched_gaa
Galway GAA,Galway,Connacht,53.509342,-8.85589,matched_gaa
Glenamaddy/Glinsk GAA,Galway,Connacht,53.60575501,-8.55273103,matched_gaa
Gort GAA,Galway,Connacht,53.04448,-8.83554,matched_gaa
Headford GAA,Galway,Connacht,53.47319,-9.09659,matched_gaa
Inis Bofin,Galway,Connacht,53.615728,-10.218058,matched_gaa
Inismaan,Galway,Connacht,53.093431,-9.570902,matched_generic
Kilconieron GAA,Galway,Connacht,53.2280439,-8.62925769,matched_generic
Kilconly GAA,Galway,Connacht,53.5544,-8.91196,matched_gaa
Killannin GAA,Galway,Connacht,53.38691,-9.226888,matched_generic
Killererin GAA,Galway,Connacht,53.48176,-8.72234,matched_generic
Killimor GAA,Galway,Connacht,53.17195,-8.29199,matched_generic
Killimordaly Hurling Club,Galway,Connacht,53.30247,-8.623015,matched_gaa
Kilnadeema - Leitrim,Galway,Connacht,53.16398,-8.562984,matched_gaa
Kiltormer GAA,Galway,Connacht,53.2356,-8.2752,matched_generic
Leenaun GAA,Galway,Connacht,53.595162,-9.701598,matched_generic
Liam Mellows GAA,Galway,Connacht,53.27091,-9.0223,matched_gaa
Loughrea GAA,Galway,Connacht,53.20246,-8.551932,matched_gaa
Meelick - Eyrecourt,Galway,Connacht,53.211885,-8.09414,matched_gaa
Menlo Emmets Hurling Club,Galway,Connacht,53.294316,-9.044697,matched_generic
Menlough GAA,Galway,Connacht,53.423913,-8.589624,matched_gaa
Milltown GAA,Galway,Connacht,53.61458,-8.904468,matched_gaa
Monivea - Abbeyknockmoy GAA,Galway,Connacht,53.377623,-8.700131,matched_gaa
Mountbellew - Moylough,Galway,Connacht,53.473731,-8.504219,matched_gaa
Mullagh GAA,Galway,Connacht,53.223284,-8.397366,matched_gaa
"Naomh Feichin GAA, Clifden",Galway,Connacht,53.49157,-10.0162,matched_gaa
"Naomh Pádraig GAA, Clonbur",Galway,Connacht,53.54978,-9.37765,matched_gaa
Oranmore-Maree GAA,Galway,Connacht,53.272016,-8.920221,matched_gaa
Oughterard GAA,Galway,Connacht,53.4288533,-9.316385,matched_gaa
"Padraig Pearses GAA, Ballymacward",Galway,Connacht,53.389977,-8.476561,matched_gaa
Portumna GAA,Galway,Connacht,53.08892,-8.21761,matched_gaa
Rahoon Newcastle GAA,Galway,Connacht,53.290501,-9.122896,matched_gaa
Renvyle GAA,Galway,Connacht,53.5539,-9.944572,matched_generic
Renvyle GAA,Galway,Connacht,53.588908,-9.961146,matched_generic
Salthill Knocknacarra,Galway,Connacht,53.26277,-9.08678,matched_gaa
"Sarsfields GAA, Castlebin",Galway,Connacht,53.301757,-8.490717,matched_generic
Skehana GAA,Galway,Connacht,53.423481,-8.589829,matched_gaa
St Brendan's Football Club,Galway,Connacht,53.52933,-8.3214,matched_generic
"St. Brendan's GAA, Annaghdown",Galway,Connacht,53.3886,-8.9592,matched_gaa
"St. James' GAA, Mervue",Galway,Connacht,53.2828397,-9.0168553,matched_gaa
"St. Mary's GAA, Athenry",Galway,Connacht,53.305358,-8.75831,matched_gaa
St. Michael's GAA,Galway,Connacht,53.275761,-9.07885752,matched_gaa
St. Thomas GAA,Galway,Connacht,53.141415,-8.704836,matched_gaa
Sylane Hurling,Galway,Connacht,53.528871,-8.936906,matched_gaa
Tommy Larkins GAA,Galway,Connacht,53.050671,-8.397093,matched_gaa
Tuam Stars,Galway,Connacht,53.5074749,-8.83814735,matched_gaa
Turloughmore GAA,Galway,Connacht,53.3667876,-8.9049821,matched_gaa
Tynagh-Abbey Duniry Hurling Club,Galway,Connacht,53.13123,-8.408785,matched_gaa
"Allen Gaels GAA, Drumshanbo",Leitrim,Connacht,54.044811,-8.031519,matched_gaa
Annaduff GAA,Leitrim,Connacht,53.894162,-7.951299,matched_gaa
Aughavas GAA,Leitrim,Connacht,53.959397,-7.723816,matched_gaa
Aughawillan GAA,Leitrim,Connacht,54.091455,-7.758502,matched_gaa
Aughnasheelin GAA,Leitrim,Connacht,54.064787,-7.864618,matched_gaa
Ballinaglera GAA,Leitrim,Connacht,54.159626,-8.01436,matched_generic
Bornacoola GAA,Leitrim,Connacht,53.861108,-7.913206,matched_generic
Carrigallen GAA,Leitrim,Connacht,53.986498,-7.656663,matched_generic
Cloone GAA,Leitrim,Connacht,53.934862,-7.787234,matched_gaa
Drumkeerin GAA,Leitrim,Connacht,54.166444,-8.135,matched_gaa
Drumreilly GAA,Leitrim,Connacht,54.039262,-7.743773,matched_gaa
Eslin GAA,Leitrim,Connacht,53.933785,-7.919601,matched_gaa
Fenagh St. Caillins GAA,Leitrim,Connacht,54.015256,-7.902072,matched_generic
Glencar Manorhamilton GAA,Leitrim,Connacht,54.306763,-8.173863,matched_gaa
Glenfarne Kiltyclogher GAA,Leitrim,Connacht,54.289418,-7.985399,matched_gaa
Gortletteragh  GAA,Leitrim,Connacht,53.88301,-7.781332,matched_gaa
Kiltubrid GAA,Leitrim,Connacht,54.034312,-7.94792,matched_gaa
Leitrim GAA,Leitrim,Connacht,53.948019,-8.078249,matched_gaa
Leitrim Gaels,Leitrim,Connacht,53.997296,-8.0564969,matched_gaa
Melvin Gaels GAA,Leitrim,Connacht,54.444329,-8.289629,no_match
Mohill GAA,Leitrim,Connacht,53.918548,-7.863659,matched_gaa
"Sean O'Heslin's GAA, Ballinamore",Leitrim,Connacht,54.060111,-7.793332,matched_gaa
"St. Mary's GAA, Kiltoghert",Leitrim,Connacht,53.948085,-8.07446224,matched_gaa
"St. Osnat's GAA, Glencar",Leitrim,Connacht,54.320993,-8.202059,no_match
"St. Patrick's GAA, Dromahaire",Leitrim,Connacht,54.233023,-8.310958,matched_generic
Achill GAA,Mayo,Connacht,53.93313,-9.9165,matched_generic
Aghamore GAA,Mayo,Connacht,53.8271,-8.819872,matched_gaa
Ardagh GAA,Mayo,Connacht,54.12397,-9.252555,matched_gaa
Ardnaree Sarsfields,Mayo,Connacht,54.111776,-9.142244,matched_generic
Balla GAA,Mayo,Connacht,53.80312,-9.14206,matched_gaa
Ballaghaderreen GAA,Mayo,Connacht,53.8989268,-8.5958359,matched_gaa
Ballina Stephenites GAA,Mayo,Connacht,54.11122,-9.16223,matched_gaa
Ballinrobe GAA,Mayo,Connacht,53.615297,-9.211607,matched_gaa
Ballintubber GAA,Mayo,Connacht,53.757565,-9.307675,matched_gaa
Ballycastle GAA,Mayo,Connacht,54.288243,-9.35875,matched_gaa
Ballycroy GAA,Mayo,Connacht,54.028213,-9.826252,matched_generic
Ballyhaunis GAA,Mayo,Connacht,53.763399,-8.792078,matched_gaa
Ballyvary Hurling,Mayo,Connacht,53.88897,-9.16028,matched_generic
Belmullet GAA,Mayo,Connacht,54.24866,-9.9979,matched_gaa
"Bohola-Moy Davitts, Foxford",Mayo,Connacht,53.991897,-9.115201,matched_gaa
Bonniconlon GAA,Mayo,Connacht,54.108084,-9.02418,matched_gaa
Breaffy GAA,Mayo,Connacht,53.845629,-9.233789,matched_gaa
Burrishoole GAA,Mayo,Connacht,53.888213,-9.540556,matched_generic
Caiseal Gaels,Mayo,Connacht,53.95612,-8.7034,matched_generic
Castlebar Mitchels GAA,Mayo,Connacht,53.852954,-9.283177,matched_gaa
Castlebar Mitchels Hurling,Mayo,Connacht,53.8536,-9.28307,matched_gaa
Charlestown Sarsfields,Mayo,Connacht,53.95883,-8.8054,matched_gaa
Cill Chomáin GAA,Mayo,Connacht,54.235497,-9.653674,matched_gaa
Clare Island GAA,Mayo,Connacht,53.80233,-9.954977,matched_gaa
Claremorris GAA,Mayo,Connacht,53.722382,-8.99457,matched_gaa
Connacht GAA,Mayo,Connacht,53.7755259,-8.8514479,matched_gaa
Connacht GAA,Mayo,Connacht,53.7742604,-8.8537795,matched_gaa
Crossmolina Deel Rovers,Mayo,Connacht,54.1048294,-9.307209335,matched_gaa
Davitts GAA,Mayo,Connacht,53.6724,-8.95848,matched_gaa
Eastern Gaels GAA,Mayo,Connacht,53.723978,-8.876388,matched_gaa
Garrymore GAA,Mayo,Connacht,53.646872,-9.021174,matched_gaa
Hollymount/Carramore GAA,Mayo,Connacht,53.6611,-9.11696,matched_gaa
Hollymount/Carramore GAA,Mayo,Connacht,53.6863,-9.0846,matched_gaa
Inisturk,Mayo,Connacht,53.7024556,-10.1093009,matched_gaa
Islandeady GAA,Mayo,Connacht,53.826408,-9.404379,matched_gaa
James Stephens Hurling Club,Mayo,Connacht,54.11122,-9.16223,matched_gaa
Kilfian GAA,Mayo,Connacht,54.200163,-9.354514,matched_gaa
Killala GAA,Mayo,Connacht,54.202404,-9.240458,matched_gaa
Kilmaine GAA,Mayo,Connacht,53.585553,-9.128521,matched_gaa
Kilmeena GAA,Mayo,Connacht,53.841134,-9.581397,matched_generic
Kilmovee Shamrocks GAA,Mayo,Connacht,53.88605,-8.67848,matched_gaa
Kiltane GAA,Mayo,Connacht,54.140684,-9.739372,matched_generic
Kiltimagh GAA,Mayo,Connacht,53.849238,-9.010395,matched_gaa
Knockmore GAA,Mayo,Connacht,54.025504,-9.176225,matched_gaa
Lacken Sarsfields GAA,Mayo,Connacht,54.2619287,-9.2241944,matched_gaa
